StockTicker,ListedExchCode,CompanyName,Sector,Industry,Total_Mark,Total_Price_Valuation_Mark,Total_Stock_Holder_Mark,Total_Analyst_Mark,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_rm,EpsRegressGrowth_Nasdaq,EpsRegressGrowth_Nasdaq_rm,M1QEps,M1QEps_rm,M2QEps,M2QEps_rm,M3QEps,M3QEps_rm,M4QEps,M4QEps_rm,M1QvsM2Q,M1QvsM2Q_rm,M2QvsM3Q,M2QvsM3Q_rm,M3QvsM4Q,M3QvsM4Q_rm,Pe,PEG_Reuters,PEG_Reuters_rm,PEG_Nasdaq,PEG_Nasdaq_rm,PEvsIndustry,PEvsIndustry_rm,PEvsSector,PEvsSector_rm,ReturnOnEquity,ReturnOnEquity_rm,PercentageHeldByInstitutions_Nasdaq,PercentageHeldByInstitutions_Nasdaq_rm,NetSharesTradedByInstitutions,NetSharesTradedByInstitutions_rm,NetNumOfSharesTradedByInsidersIn3M,NetNumOfSharesTradedByInsidersIn3M_rm,ClosePrice,Beta,Fair_Price_PE,Fair_Price_PE_vs_Close_Price_rm,Fair_Price_PEG_Reuters,Fair_Price_PEG_Reuters_vs_Close_Price_rm,Fair_Price_PEG_Nasdaq,Fair_Price_PEG_Nasdaq_vs_Close_Price_rm,PeterLynchAnalysis_rm,BenjaminGarhamAnalysis_rm,MomentumStrategyAnalysis_rm,JamesOShaughnessyAnalysis_rm,MotleyFoolAnalysis_rm,DavidDremanAnalysis_rm,MartinZweigAnalysis_rm,KennethFisherAnalysis_rm,VolumeChange,VolumeChange_rm
BIDU,IXIC,"Baidu Inc ",Technology,"Internet Services",236.16346900000002,28.907205,6.226583,0,1949.6452381000001,31.614728,-17.32,0,181.363,28.206568,190.273,37.209604,117.03,35.191189,227.172,35.854227,-4.682745318568582,0,62.58480731436384,0,-48.48396809465956,0,51.76,0.02654841967579804,20.967537,-2.9884526558891453,0,0.5011600928074247,0,-0.9586356807211585,11.985828,14.01,0,0.7692942132898787,0,6601056,6.226583,0,0,218.9,1.97,249.6169225850077,0,41953.83141957213,28.907205,-372.70388785968396,0,0,0,0,0,0,0,0,0,0.2233,0
YNDX,IXIC,"Yandex NV ",Technology,"Internet Services",191.15537799999998,32.976392,0,0,820.578571429,26.119976,53.95,19.285276,101.246,27.307535,7.099,13.111194,10.561,16.265544,2.719,0,1326.2008733624452,26.004821,-32.78098664899157,0,288.41485840382495,2.012868,77.45,0.0943846240892257,19.074425,1.4355885078776645,0,1.2462296983758705,0,-0.9381053607390596,8.997347,10.36,0,0.7857431262133249,0,-13818453,0,0,0,32.75,2.87,36.36035238863782,0,2572.1143120451256,24.136508,169.10698373853543,8.839884,0,0,0,0,0,0,0,0,-0.1027,0
PBIB,IXIC,"Porter Bancorp Inc ",Financials,Banks,167.20922399999998,46.834323999999995,0,0,56.0083333333,15.065142,0,0,0.308,0,8.626,15.216291,0.287,0,0.273,0,-96.42939948991422,0,2905.574912891986,25.49182,5.12820512820511,0,1.5,0.02678172890940442,20.032704,NULL,0,-0.9161073825503355,19.030723,-0.924924924924925,7.990223,98.23,17.547997,0,0,0,0,0,0,14.27,1.04,296.4301392,25.6393,1431.2550039957,21.195024,NULL,0,0,0,0,0,0,0,0,0,-0.1126,0
BKNG,IXIC,"Booking Holdings Inc ",NULL,"Leisure & Recreation",125.167644,16.129647,0,0,128.833333333,18.569947,13.95,0,20.131,18.618146,12.341,16.456292,17.001,19.279829,34.427,21.080537,63.12292358803988,0,-27.410152343979778,0,-50.617248090161794,0,40.75,0.3163001293669244,15.033246,2.9211469534050183,0,-0.14336766869875972,0,1.1391076115485563,0,22.58,0,0.9384338978766431,0,319500,0,-1135,0,1976.59,1.43,2078.1712043116563,0,23080.83823173497,16.129647,2499.180025874793,0,0,0,0,0,0,0,0,0,-0.3055,0
HEES,IXIC,"H&E Equipment Services Inc ",Industrials,"Business Support Services",124.680032,59.63405899999999,0,0,16.2119047619,0,13.23,0,0.578,0,0.264,0,4.266,3.154725,0.237,0,118.9393939393939,0,-93.81153305203938,0,1700,18.650056,6.87,0.42376266705842963,11.969256,0.5192743764172335,0,-0.7838263058527376,9.998331,-0.7163501238645746,2.984541,103.37,18.289064,0.7736478352248845,0,-75078,0,11212,0,37.67,2.61,428.7811602183405,21.429413,599.2551149273037,17.504474,489.0323060076419,20.700172,0,0,0,0,0,0,0,0,-0.1777,0
CACC,IXIC,"Credit Acceptance Corp ",Financials,"Consumer Lending",122.41800099999999,7.104886,0,22.055555000000002,74.3797619048,17.157778,8.3,0,7.755,15.118065,6.167,11.157452,14.133,17.687467,5.187,13.095823,25.74995946165073,0,-56.364536899455175,0,172.46963562753032,0,15.66,0.2105411418235449,17.052257,1.886746987951807,0,-0.7141292442497262,1.988718,-0.20507614213197967,0,31.46,0,0.7406888658726049,0,38699,0,-94200,0,423.11,0.5,404.7509166666667,0,2595.2824838289844,7.104886,289.6062593390805,0,9.222222,0,9,0,0,0,3.833333,0,0.0885,0
AZO,NYSE,"Autozone Inc ",,"Auto Vehicles, Parts & Service Retailers",91.378225,6.155665,0,0,46.9226190476,12.057569,7.52,0,15.021,17.717494,13.441,19.107323,4.237,2.164198,10.002,18.117508,11.755077747191422,0,217.2291715836677,2.076205,-57.63847230553889,0,18.04,0.3844627679818889,13.982263,2.398936170212766,0,-0.018498367791077275,0,-0.003865267807841022,0,0,0,0.9309184067181117,0,235811,0,-54047,0,762.82,0.9,1140.2087038802663,0,4612.205055769956,6.155665,739.1697804465173,0,0,0,0,0,0,0,0,0,-0.2767,0
HABT,IXIC,"Habit Restaurants Inc ",,"Restaurants & Bars",91.07432599999999,13.684748,0,0,10.0547619048,0,-31.25,0,0.1,0,0.032,0,2.841,0,0.019,0,212.5,7.036356,-98.87363604364661,0,14852.63157894737,37.229274,5.14,0.511200568314426,7.008398,-0.16448,0,-0.9414978374687002,20.013122,-0.7161789066813915,2.026631,49.83,4.075797,0.755651790499391,0,-579050,0,-4300,0,14.98,0.93,81.20596797665371,12.54756,70.38850631500571,1.137188,-218.7660775233128,0,0,0,0,0,0,0,0,0,-1,0
TMK,NYSE,"Torchmark Corp ",Financials,"Life & Health Insurance",88.47281699999999,13.121606,0,9.448276,60.028571428599996,16.051598,7.57,0,1.594,0,1.488,0,16.14,18.452146,1.295,0,7.123655913978499,0,-90.78066914498142,0,1146.3320463320465,15.414524,17.91,0.2983579247975734,15.984667,2.3659180977542933,0,0.22671232876712333,0,-0.09086294416243645,0,10.96,0,0.7522223119448413,0,81656,0,-381865,0,86.79,1,145.18789447236182,0,751.3294736122594,13.121606,94.74761734101541,0,0,0,0,0,0,9.448276,0,0,-0.4082,0
VC,IXIC,"Visteon Corp ",,"Auto, Truck & Motorcycle Parts",85.987057,15.171425,9.010007,0,35.540476190499994,9.041993,11.39,0,1.204,0,2.045,0,8.182,13.332306,1.352,0,-41.12469437652811,0,-75.00611097531167,0,505.1775147928994,8.131572,7.29,0.20511824211147245,17.972557,0.6400351185250219,0,-0.600328947368421,0,-0.597459966869133,0,74.29,13.327197,1.0441452409330836,9.010007,-1296528,0,-850,0,93.52,0.9,345.92008888888887,0,1059.8417830147582,15.171425,339.65774245210724,0,0,0,0,0,0,0,0,0,-0.3859,0
