StockTicker,Ric,CompanyName,Sector,Industry,BelongToIndex,ListedExchCode,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_Nasdaq,M1QEps,M2QEps,M3QEps,M4QEps,M5QEps,M6QEps,M7QEps,M8QEps,PEG_Reuters,PEG_Nasdaq,Pe,PEvsIndustry,PEvsSector,IndustryPe,SectorPe,5YrHighPe,Industry5YrHighPe,Sector5YrHighPe,5YrLowPe,Industry5YrLowPe,Sector5YrLowPe,ReturnOnEquity,IndustryReturnOnEquity,SectorReturnOnEquity,ReturnOnEquity5YrAvg,IndustryReturnOnEquity5YrAvg,SectorReturnOnEquity5YrAvg,PercentageHeldByInstitutions,Source,PercentageHeldByInstitutions,NetSharesTradedByInstitutions,NetNumOfSharesTradedByInsidersIn3M,ClosePrice,52WkHigh,52WkLow,VolumeChange,Volume,AvgVolume,QuickRatio,IndustryQuickRatio,SectorQuickRatio,TotalDebtToEquity,IndustryTotalDebtToEquity,SectorTotalDebtToEquity,InterestCoverage,IndustryInterestCoverage,SectorInterestCoverage
HABT,HABT.OQ,"Habit Restaurants Inc ",,"Restaurants & Bars",.IXIC,IXIC,22.6166666667,145.95,2.841,0.019,0.055,0.091,0.068,0.042,0.072,0.098,0.1344141488575764,0.020829051044878383,3.04,-0.9656652360515021,-0.8435409161091096,88.54,19.43,106.94,374.51,36.51,3.15,28.05,13.14,51.87,14.77,-33.18,19.12,11.33,14.95,0,Nasdaq,0.942516141712938,-1731889,17046,9.15,19.7,8.15,0.7505,159068,90870,1.14,1.15,1.21,11.58,73.29,66.81,21.66,34.47,8.58
TMK,TMK.N,"Torchmark Corp ",Financials,"Life & Health Insurance",.SPX,NYSE,126.611904762,7.99,16.14,1.295,1.179,1.139,1.029,1.164,1.135,1.083,0.03317223611709336,0.5256570713391739,4.2,-0.8619783108774236,-0.7957198443579766,30.43,20.56,16.73,16.81,23.28,4.62,8.56,11.38,43.25,3.38,15.6,19.77,4.31,18.87,77.15,Nasdaq,0.7679278501428797,-19972,0,82.96,93.57,73.99,0.2255,220518,179934,0,0,0.04,23.43,33.55,57.27,15.99,7.34,4.05
EZPW,EZPW.OQ,"EZCORP Inc ",Financials,"Consumer Lending",.IXIC,IXIC,2.16785714286,29.11,0.283,0.208,0.102,0.155,0.155,-0.277,0.277,0.136,7.897199341011009,0.5881140501545861,17.12,-0.6140667267808837,-0.16731517509727611,44.36,20.56,55,34.71,23.28,13.24,11.2,11.38,6.46,8.64,15.6,1.7,17.25,18.87,0,Nasdaq,1.0255481221113139,-502480,84250,13.2,13.75,7.55,0.2348,151485,122682,5.47,0.16,0.04,42,192,57.27,2.31,-833.44,4.05
MTCH,MTCH.OQ,"Match Group Inc ",Technology,"Internet Services",.IXIC,IXIC,6.9059523809500005,34.31,0.308,0.982,0.168,0.084,0.274,0.207,0.137,0.039,3.6924668160674683,0.743223549985427,25.5,-0.3055555555555556,0.9465648854961832,36.72,13.1,25.77,56.29,25.54,20.69,21.51,9.78,89.82,20.54,18.13,0,22.35,13.51,98.34,Nasdaq,0.9689452782742096,405083,644142,40.82,43.52,15.42,0.4655,794681,542268,0,1.69,1.74,249.91,34.39,17.21,3.84,71.58,8.98
JACK,JACK.OQ,"Jack in the Box Inc ",,"Restaurants & Bars",.IXIC,IXIC,6.53214285714,23.37,1.457,1.013,1.249,1.087,1.065,0.981,0.932,0.849,2.9010388190280594,0.8108686350021395,18.95,-0.7859724418341992,-0.024704065877509063,88.54,19.43,29.09,374.51,36.51,21.8,28.05,13.14,0,14.77,-33.18,102.59,11.33,14.95,0,Nasdaq,0.9964054246241365,466655,44066,91.86,113,79.38,0.2889,380762,295406,1.52,1.15,1.21,0,73.29,66.81,7.56,34.47,8.58
MCFT,MCFT.OQ,"MCBC Holdings Inc ",,"Recreational Products",.IXIC,IXIC,1.65238095238,23.07,0.403,0.377,0.338,0.12,0.217,0.376,0.256,0.261,11.958501440929084,0.8565236237537929,19.76,-0.4643534833288153,0.016984045290787453,36.89,19.43,19.76,57.08,36.51,18.6,17.12,13.14,153.6,9.04,-33.18,0,10.86,14.95,97.89,Nasdaq,0.9546691829960381,850501,0,24.27,27.76,14.94,0.1122,75550,67931,0.23,3.92,1.21,347.89,10.18,66.81,26.65,21.16,8.58
ULTA,ULTA.OQ,"Ulta Beauty Inc ",,"SMiscellaneous Specialty Retailers",".SPX, .IXIC",IXIC,5.55595238095,26.64,1.698,1.831,2.048,2.24,1.397,1.433,1.452,1.686,4.4672809085084495,0.9316816816816816,24.82,-0.2755399883245767,0.2774060730828616,34.26,19.43,41.63,51.45,36.51,27.24,20.11,13.14,31.76,11.24,-33.18,24.56,12.74,14.95,94.22,Nasdaq,0.9210999475341028,-1711339,272,194,314.83,187.96,0.5898,704554,443180,0.41,0.89,1.21,0,100.95,66.81,0,30.6,8.58
GGAL,GGAL.OQ,"Grupo Financiero Galicia SA ",Financials,Banks,.IXIC,IXIC,11.5261904762,21.07,1.875,1.702,1.412,1.231,1.363,1.171,1.057,1.037,1.716091716586064,0.9387755102040817,19.78,-0.028009828009827986,-0.037937743190661344,20.35,20.56,19.59,20.32,23.28,4.71,11.29,11.38,27.93,16.23,15.6,32.18,19.76,18.87,44.08,Nasdaq,0.4685626079447323,-1786537,0,61.2,73.44,32.07,0.2463,175794,141054,0,0,0.04,72.09,54.5,57.27,0,0,4.05
LOW,LOW.N,"Lowe's Companies Inc ",,"Home Improvement Products & Services Retailers",.SPX,NYSE,10.8773809524,19.17,1.046,1.678,0.699,0.741,0.43,1.313,0.992,0.012,1.906708985440461,1.0818988002086591,20.74,-0.20748949178448617,0.06742151312403499,26.17,19.43,26.27,26.46,36.51,21.09,15.72,13.14,56.18,100.8,-33.18,30.62,33.48,14.95,75.84,Nasdaq,0.737273290742756,595894,0,85.34,108.75,70.76,0.7152,2953846,1722140,0.11,0.44,1.21,289.38,592.42,66.81,9.06,15.85,8.58
OCFC,OCFC.OQ,"OceanFirst Financial Corp ",Financials,Banks,.IXIC,IXIC,2.4619047619,16.38,0.41,0.387,0.232,0.363,0.215,0.353,0.16,0.246,7.656673114134732,1.150793650793651,18.85,-0.07371007371007365,-0.08317120622568086,20.35,20.56,30.66,20.32,23.28,14.45,11.29,11.38,7.86,16.23,15.6,7.6,19.76,18.87,57.35,Nasdaq,0.516667393400696,525261,135430,26.73,30.3,24.02,0.5687,101388,64633,0,0,0.04,22.62,54.5,57.27,0,0,4.05
