# StockTicker, ListedExchCode, CompanyName, Sector, Industry, Total_Mark, Total_Price_Valuation_Mark, Total_Stock_Holder_Mark, Total_Analyst_Mark, EpsRegressGrowth_Reuters, EpsRegressGrowth_Reuters_rm, EpsRegressGrowth_Nasdaq, EpsRegressGrowth_Nasdaq_rm, M1QEps, M1QEps_rm, M2QEps, M2QEps_rm, M3QEps, M3QEps_rm, M4QEps, M4QEps_rm, M1QvsM2Q, M1QvsM2Q_rm, M2QvsM3Q, M2QvsM3Q_rm, M3QvsM4Q, M3QvsM4Q_rm, Pe, PEG_Reuters, PEG_Reuters_rm, PEG_Nasdaq, PEG_Nasdaq_rm, PEvsIndustry, PEvsIndustry_rm, PEvsSector, PEvsSector_rm, ReturnOnEquity, ReturnOnEquity_rm, PercentageHeldByInstitutions_Nasdaq, PercentageHeldByInstitutions_Nasdaq_rm, NetSharesTradedByInstitutions, NetSharesTradedByInstitutions_rm, NetNumOfSharesTradedByInsidersIn3M, NetNumOfSharesTradedByInsidersIn3M_rm, ClosePrice, Beta, Fair_Price_PE, Fair_Price_PE_vs_Close_Price_rm, Fair_Price_PEG_Reuters, Fair_Price_PEG_Reuters_vs_Close_Price_rm, Fair_Price_PEG_Nasdaq, Fair_Price_PEG_Nasdaq_vs_Close_Price_rm, PeterLynchAnalysis_rm, BenjaminGarhamAnalysis_rm, MomentumStrategyAnalysis_rm, JamesOShaughnessyAnalysis_rm, MotleyFoolAnalysis_rm, DavidDremanAnalysis_rm, MartinZweigAnalysis_rm, KennethFisherAnalysis_rm, VolumeChange, VolumeChange_rm
'PBIB', 'IXIC', 'Porter Bancorp Inc ', 'Financials', 'Banks', '217.92357400000003', '59.397019', '0', '3.333333', '56.0083333333', '17.291894', '0', '0', '0.308', '0', '8.626', '18.248004', '0.287', '0', '0.273', '0', '-96.42939948991422', '0', '2905.574912891986', '19.640206', '5.12820512820511', '0', '1.45', '0.025889004612424275', '20.970858', NULL, '0', '-0.9168577981651376', '20.006733', '-0.9259070005109862', '18.040478', '98.23', '21.139326', '0.2295870759289176', '0', '711283', '0', '148140', '16.591419', '13.76', '1.04', '295.69234096551725', '26.442796', '1427.6926893879731', '32.954223', NULL, '0', '0', '0', '0', '0', '0', '3.333333', '0', '0', '0.7021', '3.264304'
'IIJI', 'IXIC', 'Internet Initiative Japan Inc ', 'Telecommunications Services', 'Integrated Telecommunications Services', '194.26030500000002', '20.106166', '0', '0', '417.692857143', '34.685082', '30', '12.26776', '53.474', '31.291667', '26.535', '24.001259', '17.295', '26.639218', '15.62', '23.186894', '101.52251742980968', '2.003691', '53.42584562012141', '0', '10.723431498079394', '0', '19.74', '0.04725960634093839', '20.078568', '0.6579999999999999', '0', '0.268637532133676', '0', '0.008171603677221695', '0', '7.3', '0', '0.00492847790870559', '0', '0', '0', '0', '0', '10.26', '0.48', '7.4747686322188445', '0', '269.1515057305486', '20.106166', '19.331298186772877', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4161', '0'
'HEES', 'IXIC', 'H&E Equipment Services Inc ', 'Industrials', 'Business Support Services', '155.53027299999997', '64.507486', '0', '0', '23.6226190476', '9.136878', '20.99', '0', '0.264', '0', '4.266', '10.741607', '0.237', '0', '0.277', '0', '-93.81153305203938', '0', '1700', '17.334617', '-14.440433212996407', '0', '7.49', '0.31706899158418955', '14.958689', '0.3568365888518342', '0', '-0.7601665065642011', '3.016267', '-0.6716352476983779', '15.016751', '100.87', '20.817978', '0.7722321573682294', '0', '-44685', '0', '-402685', '0', '37.7', '2.52', '380.02868411214956', '21.149052', '773.90283033983', '19.995214', '687.655351682243', '23.36322', '0', '0', '0', '0', '0', '0', '0', '0', '0.2171', '0'
'UHAL', 'IXIC', 'Amerco ', 'Industrials', 'Ground Freight & Logistics', '154.622626', '31.48788', '0', '0', '38.938095238100004', '14.083084', '44.52', '18.213115', '9.684', '18.651286', '6.363', '14.757347', '6.443', '19.930454', '0.487', '0', '52.19236209335216', '0', '-1.2416576129132273', '0', '1222.9979466119096', '24.351777', '15.47', '0.39729729729724866', '13.147683', '0.3474842767295597', '0', '-0.42533432392273407', '0', '-0.321788689171416', '0', '14.11', '0', '0.3768864239086087', '0', '-131268', '0', '0', '0', '355.46', '0.97', '667.7723948416289', '0', '2241.5331989411607', '14.232053', '2562.864398133562', '17.255827', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1325', '0'
'FCNCA', 'IXIC', 'First Citizens BancShares Inc ', 'Financials', 'Banks', '140.43728099999998', '17.469676', '0', '10', '46.6261904762', '15.411084', '0', '0', '8.345', '16.628076', '6.675', '15.590047', '5.584', '18.453099', '11.212', '19.922243', '25.01872659176032', '0', '19.53796561604586', '0', '-50.196218337495544', '0', '14.17', '0.30390644947141826', '15.963056', NULL, '11', '-0.1875000000000001', '0', '-0.2759325498211549', '0', '11.81', '0', '0.49602180826896863', '0', '24790', '0', '611', '0', '444.95', '1.11', '1044.2888577628794', '0', '4197.518206398737', '17.469676', NULL, '0', '0', '0', '0', '0', '10', '0', '0', '0', '-0.3053', '0'
'CG', 'IXIC', 'Carlyle Group LP ', 'Financials', 'Investment Management & Fund Operators', '135.21175399999998', '54.827112', '0', '21.484849', '12.634523809500001', '0', '32', '13.830601', '0.304', '0', '1.54', '0', '0.43', '0', '0.594', '0', '-80.25974025974027', '0', '258.13953488372096', '3.055477', '-27.609427609427605', '0', '7.64', '0.6046923584294821', '11.993459', '0.23875', '0', '-0.732399299474606', '2.007777', '-0.6096065406234032', '9.978771', '56.73', '18.033708', '0.42196260023078974', '0', '-298842', '0', '31417', '0', '21.95', '1.77', '152.35992035340314', '19.509227', '165.9478483895341', '15.37189', '420.3032285611121', '19.945995', '8.818182', '0', '0', '0', '0', '12.666667', '0', '0', '0.4059', '0'
'YNDX', 'IXIC', 'Yandex NV ', 'Technology', 'Internet Services', '127.084371', '21.784867', '0', '0', '31.0297619048', '12.188193', '55.89', '20.925319', '7.099', '15.395694', '10.561', '19.319961', '2.719', '9.670532', '10.647', '21.786794', '-32.78098664899157', '0', '288.41485840382495', '6.013011', '-74.46228984690524', '0', '68.19', '2.1975676194103078', '0', '1.2200751476113794', '0', '1.0156665681347916', '0', '4.858247422680412', '0', '9.38', '0', '0.8216148214542055', '0', '809195', '0', '0', '0', '33.54', '2.67', '39.34684674879014', '0', '105.25200744134588', '7.177818', '189.57717799912768', '14.607049', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3267', '0'
'RDI', 'IXIC', 'Reading International Inc ', '', 'Leisure & Recreation', '116.43524', '46.381249', '0', '0', '7.05119047619', '0', '54.35', '21.127505', '0.335', '0', '0.888', '0', '0.067', '0', '0.813', '0', '-62.27477477477477', '0', '1225.3731343283582', '16.000704', '-91.7589175891759', '0', '7.32', '1.0381225730204988', '3.950544', '0.13468261269549217', '0', '-0.8688642063776424', '16.996835', '-0.6153441933788755', '11.978403', '29.52', '0', '0.41244745492111196', '0', '192619', '0', '-105964', '0', '15.37', '1.23', '77.37919413934426', '17.519206', '47.035813514707016', '6.164972', '362.54820702356557', '22.697071', '0', '0', '0', '0', '0', '0', '0', '0', '-0.2235', '0'
'BLK', 'NYSE', 'BlackRock Inc ', 'Financials', 'Investment Management & Fund Operators', '112.26500100000001', '13.483956', '0', '0', '28.052380952400004', '11.229313', '10.01', '0', '6.684', '14.985459', '6.851', '16.528884', '5.782', '18.671092', '5.221', '18.401927', '-2.4376003503138177', '0', '18.48841231407816', '0', '10.745067994637036', '0', '22.23', '0.7924461042262485', '7.960133', '2.220779220779221', '0', '-0.8262195121951219', '11.004237', '0.10158572844400404', '0', '11.85', '0', '0.8578470437659986', '0', '-159306', '0', '76', '0', '542.66', '1.81', '1323.8025924696356', '0', '3201.363330149392', '13.483956', '1142.3503405707802', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.299', '0'
'SJM', 'NYSE', 'J M Smucker Co ', 'Consumer Non-Cyclicals', 'Food Processing', '107.572056', '16.16933', '0', '14.333333', '103.89642857100002', '20.31318', '11.24', '0', '14.095', '20.513143', '1.712', '0', '1.117', '0', '0.96', '0', '723.3060747663552', '18.248418', '53.26768128916741', '0', '16.35416666666667', '0', '21.93', '0.21107559038965068', '17.994652', '1.9510676156583628', '0', '-0.029646017699115124', '0', '-0.4642071829953579', '0', '7.79', '0', '0.8127028406940202', '0', '905033', '0', '-6854', '0', '110.22', '0.62', '93.3619188508892', '0', '836.2043045812852', '16.16933', '90.46447998999953', '0', '0', '0', '0', '0', '0', '14.333333', '0', '0', '-0.151', '0'
'ED', 'NYSE', 'Consolidated Edison Inc ', 'Utilities', 'Electric Utilities', '97.950445', '0', '0', '8.5', '108.32976190500001', '19.257083', '4.26', '0', '1.374', '0', '18.638', '23.082211', '1.478', '0', '0.57', '0', '-92.62796437385985', '0', '1161.0284167794316', '14.013348', '159.2982456140351', '14.119568', '19.71', '0.18194445970706297', '18.978235', '4.626760563380282', '0', '0.6549118387909321', '0', '0.397872340425532', '0', '8.9', '0', '0.5829318508029478', '0', '818200', '0', '20306', '0', '75.1', '0.09', '10.27429726027397', '0', '95.94932551264425', '0', '3.77314709730751', '0', '0', '1.833333', '0', '0', '0', '6.666667', '0', '0', '-0.0943', '0'
